gesl,D,variable,N,val,value
Männer,28. Dezil,"Szenario 1
(Kindererziehung)",1777,Szenario,1838.638671875
Männer,28. Dezil,"Szenario 2
(Arbeitslosigkeit)",1777,Szenario,1838.63928222656
Männer,28. Dezil,"Szenario 3
(GPG/Männer)",1777,Szenario,1838.638671875
Männer,28. Dezil,"Szenario 4
(GPG/Frau)",1777,Szenario,1838.638671875
Männer,28. Dezil,"Szenario 5
(Beste 15 Jahre)",1777,Szenario,1536.12109375
Männer,29. Dezil,"Szenario 1
(Kindererziehung)",1776,Szenario,1862.92077636719
Männer,29. Dezil,"Szenario 2
(Arbeitslosigkeit)",1776,Szenario,1862.92077636719
Männer,29. Dezil,"Szenario 3
(GPG/Männer)",1776,Szenario,1862.92077636719
Männer,29. Dezil,"Szenario 4
(GPG/Frau)",1776,Szenario,1862.92077636719
Männer,29. Dezil,"Szenario 5
(Beste 15 Jahre)",1776,Szenario,1587.99499511719
Männer,30. Dezil,"Szenario 1
(Kindererziehung)",1777,Szenario,1886.86633300781
Männer,30. Dezil,"Szenario 2
(Arbeitslosigkeit)",1777,Szenario,1886.93481445313
Männer,30. Dezil,"Szenario 3
(GPG/Männer)",1777,Szenario,1886.86633300781
Männer,30. Dezil,"Szenario 4
(GPG/Frau)",1777,Szenario,1886.86633300781
Männer,30. Dezil,"Szenario 5
(Beste 15 Jahre)",1777,Szenario,1511.31091308594
Männer,31. Dezil,"Szenario 1
(Kindererziehung)",1777,Szenario,1910.06372070313
Männer,31. Dezil,"Szenario 2
(Arbeitslosigkeit)",1777,Szenario,1910.07727050781
Männer,31. Dezil,"Szenario 3
(GPG/Männer)",1777,Szenario,1910.06372070313
Männer,31. Dezil,"Szenario 4
(GPG/Frau)",1777,Szenario,1910.06372070313
Männer,31. Dezil,"Szenario 5
(Beste 15 Jahre)",1777,Szenario,1654.49060058594
Männer,32. Dezil,"Szenario 1
(Kindererziehung)",1777,Szenario,1931.23205566406
Männer,32. Dezil,"Szenario 2
(Arbeitslosigkeit)",1777,Szenario,1931.26928710938
Männer,32. Dezil,"Szenario 3
(GPG/Männer)",1777,Szenario,1931.23205566406
Männer,32. Dezil,"Szenario 4
(GPG/Frau)",1777,Szenario,1931.23205566406
Männer,32. Dezil,"Szenario 5
(Beste 15 Jahre)",1777,Szenario,1505.16271972656
Männer,33. Dezil,"Szenario 1
(Kindererziehung)",1776,Szenario,1952.71618652344
Männer,33. Dezil,"Szenario 2
(Arbeitslosigkeit)",1776,Szenario,1952.96984863281
Männer,33. Dezil,"Szenario 3
(GPG/Männer)",1776,Szenario,1952.71618652344
Männer,33. Dezil,"Szenario 4
(GPG/Frau)",1776,Szenario,1952.71618652344
Männer,33. Dezil,"Szenario 5
(Beste 15 Jahre)",1776,Szenario,1738.34265136719
Männer,34. Dezil,"Szenario 1
(Kindererziehung)",1777,Szenario,1973.43432617188
Männer,34. Dezil,"Szenario 2
(Arbeitslosigkeit)",1777,Szenario,1973.43432617188
Männer,34. Dezil,"Szenario 3
(GPG/Männer)",1777,Szenario,1973.43432617188
Männer,34. Dezil,"Szenario 4
(GPG/Frau)",1777,Szenario,1973.43432617188
Männer,34. Dezil,"Szenario 5
(Beste 15 Jahre)",1777,Szenario,1613.99731445313
Männer,35. Dezil,"Szenario 1
(Kindererziehung)",1777,Szenario,1993.13513183594
Männer,35. Dezil,"Szenario 2
(Arbeitslosigkeit)",1777,Szenario,1993.17797851563
Männer,35. Dezil,"Szenario 3
(GPG/Männer)",1777,Szenario,1993.13513183594
Männer,35. Dezil,"Szenario 4
(GPG/Frau)",1777,Szenario,1993.13513183594
Männer,35. Dezil,"Szenario 5
(Beste 15 Jahre)",1777,Szenario,1616.57604980469
Männer,36. Dezil,"Szenario 1
(Kindererziehung)",1777,Szenario,2012.53186035156
Männer,36. Dezil,"Szenario 2
(Arbeitslosigkeit)",1777,Szenario,2012.53186035156
Männer,36. Dezil,"Szenario 3
(GPG/Männer)",1777,Szenario,2012.53186035156
Männer,36. Dezil,"Szenario 4
(GPG/Frau)",1777,Szenario,2012.53186035156
Männer,36. Dezil,"Szenario 5
(Beste 15 Jahre)",1777,Szenario,1686.96496582031
Männer,37. Dezil,"Szenario 1
(Kindererziehung)",1776,Szenario,2031.98168945312
Männer,37. Dezil,"Szenario 2
(Arbeitslosigkeit)",1776,Szenario,2031.99694824219
Männer,37. Dezil,"Szenario 3
(GPG/Männer)",1776,Szenario,2031.98168945312
Männer,37. Dezil,"Szenario 4
(GPG/Frau)",1776,Szenario,2031.98168945312
Männer,37. Dezil,"Szenario 5
(Beste 15 Jahre)",1776,Szenario,1742.08508300781
Männer,38. Dezil,"Szenario 1
(Kindererziehung)",1777,Szenario,2051.24755859375
Männer,38. Dezil,"Szenario 2
(Arbeitslosigkeit)",1777,Szenario,2051.26147460938
Männer,38. Dezil,"Szenario 3
(GPG/Männer)",1777,Szenario,2051.24755859375
Männer,38. Dezil,"Szenario 4
(GPG/Frau)",1777,Szenario,2051.24755859375
Männer,38. Dezil,"Szenario 5
(Beste 15 Jahre)",1777,Szenario,1673.77709960938
Männer,39. Dezil,"Szenario 1
(Kindererziehung)",1777,Szenario,2070.13403320313
Männer,39. Dezil,"Szenario 2
(Arbeitslosigkeit)",1777,Szenario,2070.13818359375
Männer,39. Dezil,"Szenario 3
(GPG/Männer)",1777,Szenario,2070.13403320313
Männer,39. Dezil,"Szenario 4
(GPG/Frau)",1777,Szenario,2070.13403320313
Männer,39. Dezil,"Szenario 5
(Beste 15 Jahre)",1777,Szenario,1705.64001464844
Männer,40. Dezil,"Szenario 1
(Kindererziehung)",1777,Szenario,2088.1376953125
Männer,40. Dezil,"Szenario 2
(Arbeitslosigkeit)",1777,Szenario,2088.1376953125
Männer,40. Dezil,"Szenario 3
(GPG/Männer)",1777,Szenario,2088.1376953125
Männer,40. Dezil,"Szenario 4
(GPG/Frau)",1777,Szenario,2088.1376953125
Männer,40. Dezil,"Szenario 5
(Beste 15 Jahre)",1777,Szenario,1737.79919433594
Männer,41. Dezil,"Szenario 1
(Kindererziehung)",1776,Szenario,2106.78857421875
Männer,41. Dezil,"Szenario 2
(Arbeitslosigkeit)",1776,Szenario,2106.81323242188
Männer,41. Dezil,"Szenario 3
(GPG/Männer)",1776,Szenario,2106.78857421875
Männer,41. Dezil,"Szenario 4
(GPG/Frau)",1776,Szenario,2106.78857421875
Männer,41. Dezil,"Szenario 5
(Beste 15 Jahre)",1776,Szenario,1882.89624023438
Männer,42. Dezil,"Szenario 1
(Kindererziehung)",1777,Szenario,2125.46459960938
Männer,42. Dezil,"Szenario 2
(Arbeitslosigkeit)",1777,Szenario,2125.49951171875
Männer,42. Dezil,"Szenario 3
(GPG/Männer)",1777,Szenario,2125.46459960938
Männer,42. Dezil,"Szenario 4
(GPG/Frau)",1777,Szenario,2125.46459960938
Männer,42. Dezil,"Szenario 5
(Beste 15 Jahre)",1777,Szenario,1730.13793945313
Männer,43. Dezil,"Szenario 1
(Kindererziehung)",1777,Szenario,2143.16870117188
Männer,43. Dezil,"Szenario 2
(Arbeitslosigkeit)",1777,Szenario,2143.18896484375
Männer,43. Dezil,"Szenario 3
(GPG/Männer)",1777,Szenario,2143.16870117188
Männer,43. Dezil,"Szenario 4
(GPG/Frau)",1777,Szenario,2143.16870117188
Männer,43. Dezil,"Szenario 5
(Beste 15 Jahre)",1777,Szenario,1874.47521972656
Männer,44. Dezil,"Szenario 1
(Kindererziehung)",1777,Szenario,2161.55151367188
Männer,44. Dezil,"Szenario 2
(Arbeitslosigkeit)",1777,Szenario,2161.60498046875
Männer,44. Dezil,"Szenario 3
(GPG/Männer)",1777,Szenario,2161.55151367188
Männer,44. Dezil,"Szenario 4
(GPG/Frau)",1777,Szenario,2161.55151367188
Männer,44. Dezil,"Szenario 5
(Beste 15 Jahre)",1777,Szenario,1783.03198242188
Männer,45. Dezil,"Szenario 1
(Kindererziehung)",1776,Szenario,2178.52172851563
Männer,45. Dezil,"Szenario 2
(Arbeitslosigkeit)",1776,Szenario,2178.54638671875
Männer,45. Dezil,"Szenario 3
(GPG/Männer)",1776,Szenario,2178.52172851563
Männer,45. Dezil,"Szenario 4
(GPG/Frau)",1776,Szenario,2178.52172851563
Männer,45. Dezil,"Szenario 5
(Beste 15 Jahre)",1776,Szenario,1862.15808105469
Männer,46. Dezil,"Szenario 1
(Kindererziehung)",1777,Szenario,2196.71215820313
Männer,46. Dezil,"Szenario 2
(Arbeitslosigkeit)",1777,Szenario,2196.71215820313
Männer,46. Dezil,"Szenario 3
(GPG/Männer)",1777,Szenario,2196.71215820313
Männer,46. Dezil,"Szenario 4
(GPG/Frau)",1777,Szenario,2196.71215820313
Männer,46. Dezil,"Szenario 5
(Beste 15 Jahre)",1777,Szenario,1875.69458007813
Männer,47. Dezil,"Szenario 1
(Kindererziehung)",1777,Szenario,2214.49853515625
Männer,47. Dezil,"Szenario 2
(Arbeitslosigkeit)",1777,Szenario,2214.5009765625
Männer,47. Dezil,"Szenario 3
(GPG/Männer)",1777,Szenario,2214.49853515625
Männer,47. Dezil,"Szenario 4
(GPG/Frau)",1777,Szenario,2214.49853515625
Männer,47. Dezil,"Szenario 5
(Beste 15 Jahre)",1777,Szenario,1930.0341796875
Männer,48. Dezil,"Szenario 1
(Kindererziehung)",1777,Szenario,2232.3173828125
Männer,48. Dezil,"Szenario 2
(Arbeitslosigkeit)",1777,Szenario,2232.34057617187
Männer,48. Dezil,"Szenario 3
(GPG/Männer)",1777,Szenario,2232.3173828125
Männer,48. Dezil,"Szenario 4
(GPG/Frau)",1777,Szenario,2232.3173828125
Männer,48. Dezil,"Szenario 5
(Beste 15 Jahre)",1777,Szenario,1763.90258789063
Männer,49. Dezil,"Szenario 1
(Kindererziehung)",1776,Szenario,2250.77856445313
Männer,49. Dezil,"Szenario 2
(Arbeitslosigkeit)",1776,Szenario,2250.8037109375
Männer,49. Dezil,"Szenario 3
(GPG/Männer)",1776,Szenario,2250.77856445313
Männer,49. Dezil,"Szenario 4
(GPG/Frau)",1776,Szenario,2250.77856445313
Männer,49. Dezil,"Szenario 5
(Beste 15 Jahre)",1776,Szenario,1881.45629882813
Männer,50. Dezil,"Szenario 1
(Kindererziehung)",1777,Szenario,2268.69995117188
Männer,50. Dezil,"Szenario 2
(Arbeitslosigkeit)",1777,Szenario,2268.70190429688
Männer,50. Dezil,"Szenario 3
(GPG/Männer)",1777,Szenario,2268.69995117188
Männer,50. Dezil,"Szenario 4
(GPG/Frau)",1777,Szenario,2268.69995117188
Männer,50. Dezil,"Szenario 5
(Beste 15 Jahre)",1777,Szenario,1922.3681640625
Männer,51. Dezil,"Szenario 1
(Kindererziehung)",1777,Szenario,2286.24731445313
Männer,51. Dezil,"Szenario 2
(Arbeitslosigkeit)",1777,Szenario,2286.28051757813
Männer,51. Dezil,"Szenario 3
(GPG/Männer)",1777,Szenario,2286.24731445313
Männer,51. Dezil,"Szenario 4
(GPG/Frau)",1777,Szenario,2286.24731445313
Männer,51. Dezil,"Szenario 5
(Beste 15 Jahre)",1777,Szenario,1835.2001953125
Männer,52. Dezil,"Szenario 1
(Kindererziehung)",1777,Szenario,2304.77172851563
Männer,52. Dezil,"Szenario 2
(Arbeitslosigkeit)",1777,Szenario,2304.84375
Männer,52. Dezil,"Szenario 3
(GPG/Männer)",1777,Szenario,2304.77172851563
Männer,52. Dezil,"Szenario 4
(GPG/Frau)",1777,Szenario,2304.77172851563
Männer,52. Dezil,"Szenario 5
(Beste 15 Jahre)",1777,Szenario,1915.4462890625
Männer,53. Dezil,"Szenario 1
(Kindererziehung)",1776,Szenario,2322.39233398438
Männer,53. Dezil,"Szenario 2
(Arbeitslosigkeit)",1776,Szenario,2322.39233398438
Männer,53. Dezil,"Szenario 3
(GPG/Männer)",1776,Szenario,2322.39233398438
Männer,53. Dezil,"Szenario 4
(GPG/Frau)",1776,Szenario,2322.39233398438
Männer,53. Dezil,"Szenario 5
(Beste 15 Jahre)",1776,Szenario,1808.97973632813
Männer,54. Dezil,"Szenario 1
(Kindererziehung)",1777,Szenario,2340.5703125
Männer,54. Dezil,"Szenario 2
(Arbeitslosigkeit)",1777,Szenario,2340.572265625
Männer,54. Dezil,"Szenario 3
(GPG/Männer)",1777,Szenario,2340.5703125
Männer,54. Dezil,"Szenario 4
(GPG/Frau)",1777,Szenario,2340.5703125
Männer,54. Dezil,"Szenario 5
(Beste 15 Jahre)",1777,Szenario,1971.60314941406
Männer,55. Dezil,"Szenario 1
(Kindererziehung)",1777,Szenario,2359.33129882813
Männer,55. Dezil,"Szenario 2
(Arbeitslosigkeit)",1777,Szenario,2359.36010742188
Männer,55. Dezil,"Szenario 3
(GPG/Männer)",1777,Szenario,2359.33129882813
Männer,55. Dezil,"Szenario 4
(GPG/Frau)",1777,Szenario,2359.33129882813
Männer,55. Dezil,"Szenario 5
(Beste 15 Jahre)",1777,Szenario,1984.61596679688
Männer,56. Dezil,"Szenario 1
(Kindererziehung)",1777,Szenario,2377.41821289063
Männer,56. Dezil,"Szenario 2
(Arbeitslosigkeit)",1777,Szenario,2377.44580078125
Männer,56. Dezil,"Szenario 3
(GPG/Männer)",1777,Szenario,2377.41821289063
Männer,56. Dezil,"Szenario 4
(GPG/Frau)",1777,Szenario,2377.41821289063
Männer,56. Dezil,"Szenario 5
(Beste 15 Jahre)",1777,Szenario,2150.88891601563
Männer,57. Dezil,"Szenario 1
(Kindererziehung)",1776,Szenario,2395.89038085938
Männer,57. Dezil,"Szenario 2
(Arbeitslosigkeit)",1776,Szenario,2395.89038085938
Männer,57. Dezil,"Szenario 3
(GPG/Männer)",1776,Szenario,2395.89038085938
Männer,57. Dezil,"Szenario 4
(GPG/Frau)",1776,Szenario,2395.89038085938
Männer,57. Dezil,"Szenario 5
(Beste 15 Jahre)",1776,Szenario,2207.15795898438
Männer,58. Dezil,"Szenario 1
(Kindererziehung)",1777,Szenario,2414.96557617188
Männer,58. Dezil,"Szenario 2
(Arbeitslosigkeit)",1777,Szenario,2414.96557617188
Männer,58. Dezil,"Szenario 3
(GPG/Männer)",1777,Szenario,2414.96557617188
Männer,58. Dezil,"Szenario 4
(GPG/Frau)",1777,Szenario,2414.96557617188
Männer,58. Dezil,"Szenario 5
(Beste 15 Jahre)",1777,Szenario,2015.06958007813
Männer,59. Dezil,"Szenario 1
(Kindererziehung)",1777,Szenario,2433.63891601563
Männer,59. Dezil,"Szenario 2
(Arbeitslosigkeit)",1777,Szenario,2433.68188476563
Männer,59. Dezil,"Szenario 3
(GPG/Männer)",1777,Szenario,2433.63891601563
Männer,59. Dezil,"Szenario 4
(GPG/Frau)",1777,Szenario,2433.63891601563
Männer,59. Dezil,"Szenario 5
(Beste 15 Jahre)",1777,Szenario,2180.091796875
Männer,60. Dezil,"Szenario 1
(Kindererziehung)",1777,Szenario,2454.201171875
Männer,60. Dezil,"Szenario 2
(Arbeitslosigkeit)",1777,Szenario,2454.25048828125
Männer,60. Dezil,"Szenario 3
(GPG/Männer)",1777,Szenario,2454.201171875
Männer,60. Dezil,"Szenario 4
(GPG/Frau)",1777,Szenario,2454.201171875
Männer,60. Dezil,"Szenario 5
(Beste 15 Jahre)",1777,Szenario,2048.83178710937
Männer,61. Dezil,"Szenario 1
(Kindererziehung)",1776,Szenario,2474.05859375
Männer,61. Dezil,"Szenario 2
(Arbeitslosigkeit)",1776,Szenario,2474.08178710938
Männer,61. Dezil,"Szenario 3
(GPG/Männer)",1776,Szenario,2474.05859375
Männer,61. Dezil,"Szenario 4
(GPG/Frau)",1776,Szenario,2474.05859375
Männer,61. Dezil,"Szenario 5
(Beste 15 Jahre)",1776,Szenario,2264.65161132813
Männer,62. Dezil,"Szenario 1
(Kindererziehung)",1777,Szenario,2493.81982421875
Männer,62. Dezil,"Szenario 2
(Arbeitslosigkeit)",1777,Szenario,2493.81982421875
Männer,62. Dezil,"Szenario 3
(GPG/Männer)",1777,Szenario,2493.81982421875
Männer,62. Dezil,"Szenario 4
(GPG/Frau)",1777,Szenario,2493.81982421875
Männer,62. Dezil,"Szenario 5
(Beste 15 Jahre)",1777,Szenario,2290.21166992188
Männer,63. Dezil,"Szenario 1
(Kindererziehung)",1777,Szenario,2514.28686523438
Männer,63. Dezil,"Szenario 2
(Arbeitslosigkeit)",1777,Szenario,2514.28686523438
Männer,63. Dezil,"Szenario 3
(GPG/Männer)",1777,Szenario,2514.28686523438
Männer,63. Dezil,"Szenario 4
(GPG/Frau)",1777,Szenario,2514.28686523438
Männer,63. Dezil,"Szenario 5
(Beste 15 Jahre)",1777,Szenario,2287.56762695313
Männer,64. Dezil,"Szenario 1
(Kindererziehung)",1777,Szenario,2535.04028320313
Männer,64. Dezil,"Szenario 2
(Arbeitslosigkeit)",1777,Szenario,2535.05419921875
Männer,64. Dezil,"Szenario 3
(GPG/Männer)",1777,Szenario,2535.04028320313
Männer,64. Dezil,"Szenario 4
(GPG/Frau)",1777,Szenario,2535.04028320313
Männer,64. Dezil,"Szenario 5
(Beste 15 Jahre)",1777,Szenario,2154.04663085938
Männer,65. Dezil,"Szenario 1
(Kindererziehung)",1776,Szenario,2556.03930664063
Männer,65. Dezil,"Szenario 2
(Arbeitslosigkeit)",1776,Szenario,2556.04956054688
Männer,65. Dezil,"Szenario 3
(GPG/Männer)",1776,Szenario,2556.03930664063
Männer,65. Dezil,"Szenario 4
(GPG/Frau)",1776,Szenario,2556.03930664063
Männer,65. Dezil,"Szenario 5
(Beste 15 Jahre)",1776,Szenario,2307.36059570313
Männer,66. Dezil,"Szenario 1
(Kindererziehung)",1777,Szenario,2577.84423828125
Männer,66. Dezil,"Szenario 2
(Arbeitslosigkeit)",1777,Szenario,2577.84423828125
Männer,66. Dezil,"Szenario 3
(GPG/Männer)",1777,Szenario,2577.84423828125
Männer,66. Dezil,"Szenario 4
(GPG/Frau)",1777,Szenario,2577.84423828125
Männer,66. Dezil,"Szenario 5
(Beste 15 Jahre)",1777,Szenario,2330.287109375
Männer,67. Dezil,"Szenario 1
(Kindererziehung)",1777,Szenario,2599.04516601563
Männer,67. Dezil,"Szenario 2
(Arbeitslosigkeit)",1777,Szenario,2599.05102539063
Männer,67. Dezil,"Szenario 3
(GPG/Männer)",1777,Szenario,2599.04516601563
Männer,67. Dezil,"Szenario 4
(GPG/Frau)",1777,Szenario,2599.04516601563
Männer,67. Dezil,"Szenario 5
(Beste 15 Jahre)",1777,Szenario,2276.16650390625
Männer,68. Dezil,"Szenario 1
(Kindererziehung)",1777,Szenario,2621.49780273438
Männer,68. Dezil,"Szenario 2
(Arbeitslosigkeit)",1777,Szenario,2621.49780273438
Männer,68. Dezil,"Szenario 3
(GPG/Männer)",1777,Szenario,2621.49780273438
Männer,68. Dezil,"Szenario 4
(GPG/Frau)",1777,Szenario,2621.49780273438
Männer,68. Dezil,"Szenario 5
(Beste 15 Jahre)",1777,Szenario,2412.8984375
Männer,69. Dezil,"Szenario 1
(Kindererziehung)",1776,Szenario,2644.08422851563
Männer,69. Dezil,"Szenario 2
(Arbeitslosigkeit)",1776,Szenario,2644.08422851563
Männer,69. Dezil,"Szenario 3
(GPG/Männer)",1776,Szenario,2644.08422851563
Männer,69. Dezil,"Szenario 4
(GPG/Frau)",1776,Szenario,2644.08422851563
Männer,69. Dezil,"Szenario 5
(Beste 15 Jahre)",1776,Szenario,2429.76684570313
Männer,70. Dezil,"Szenario 1
(Kindererziehung)",1777,Szenario,2667.43774414063
Männer,70. Dezil,"Szenario 2
(Arbeitslosigkeit)",1777,Szenario,2667.48413085938
Männer,70. Dezil,"Szenario 3
(GPG/Männer)",1777,Szenario,2667.43774414063
Männer,70. Dezil,"Szenario 4
(GPG/Frau)",1777,Szenario,2667.43774414063
Männer,70. Dezil,"Szenario 5
(Beste 15 Jahre)",1777,Szenario,2204.66796875
Männer,71. Dezil,"Szenario 1
(Kindererziehung)",1777,Szenario,2690.8125
Männer,71. Dezil,"Szenario 2
(Arbeitslosigkeit)",1777,Szenario,2690.8125
Männer,71. Dezil,"Szenario 3
(GPG/Männer)",1777,Szenario,2690.8125
Männer,71. Dezil,"Szenario 4
(GPG/Frau)",1777,Szenario,2690.8125
Männer,71. Dezil,"Szenario 5
(Beste 15 Jahre)",1777,Szenario,2462.11987304688
Männer,72. Dezil,"Szenario 1
(Kindererziehung)",1777,Szenario,2714.09375
Männer,72. Dezil,"Szenario 2
(Arbeitslosigkeit)",1777,Szenario,2714.10595703125
Männer,72. Dezil,"Szenario 3
(GPG/Männer)",1777,Szenario,2714.09375
Männer,72. Dezil,"Szenario 4
(GPG/Frau)",1777,Szenario,2714.09375
Männer,72. Dezil,"Szenario 5
(Beste 15 Jahre)",1777,Szenario,2462.11987304688
Männer,73. Dezil,"Szenario 1
(Kindererziehung)",1776,Szenario,2738.43041992188
Männer,73. Dezil,"Szenario 2
(Arbeitslosigkeit)",1776,Szenario,2738.46923828125
Männer,73. Dezil,"Szenario 3
(GPG/Männer)",1776,Szenario,2738.43041992188
Männer,73. Dezil,"Szenario 4
(GPG/Frau)",1776,Szenario,2738.43041992188
Männer,73. Dezil,"Szenario 5
(Beste 15 Jahre)",1776,Szenario,2479.78857421875
Männer,74. Dezil,"Szenario 1
(Kindererziehung)",1777,Szenario,2763.40478515625
Männer,74. Dezil,"Szenario 2
(Arbeitslosigkeit)",1777,Szenario,2763.40966796875
Männer,74. Dezil,"Szenario 3
(GPG/Männer)",1777,Szenario,2763.40478515625
Männer,74. Dezil,"Szenario 4
(GPG/Frau)",1777,Szenario,2763.40478515625
Männer,74. Dezil,"Szenario 5
(Beste 15 Jahre)",1777,Szenario,2454.26831054688
Männer,75. Dezil,"Szenario 1
(Kindererziehung)",1777,Szenario,2788.82763671875
Männer,75. Dezil,"Szenario 2
(Arbeitslosigkeit)",1777,Szenario,2788.82763671875
Männer,75. Dezil,"Szenario 3
(GPG/Männer)",1777,Szenario,2788.82763671875
Männer,75. Dezil,"Szenario 4
(GPG/Frau)",1777,Szenario,2788.82763671875
Männer,75. Dezil,"Szenario 5
(Beste 15 Jahre)",1777,Szenario,2528.46484375
Männer,76. Dezil,"Szenario 1
(Kindererziehung)",1777,Szenario,2814.81616210938
Männer,76. Dezil,"Szenario 2
(Arbeitslosigkeit)",1777,Szenario,2814.81616210938
Männer,76. Dezil,"Szenario 3
(GPG/Männer)",1777,Szenario,2814.81616210938
Männer,76. Dezil,"Szenario 4
(GPG/Frau)",1777,Szenario,2814.81616210938
Männer,76. Dezil,"Szenario 5
(Beste 15 Jahre)",1777,Szenario,2598.37377929688
Männer,77. Dezil,"Szenario 1
(Kindererziehung)",1776,Szenario,2840.28002929688
Männer,77. Dezil,"Szenario 2
(Arbeitslosigkeit)",1776,Szenario,2840.28002929688
Männer,77. Dezil,"Szenario 3
(GPG/Männer)",1776,Szenario,2840.28002929688
Männer,77. Dezil,"Szenario 4
(GPG/Frau)",1776,Szenario,2840.28002929688
Männer,77. Dezil,"Szenario 5
(Beste 15 Jahre)",1776,Szenario,2352.98486328125
Männer,78. Dezil,"Szenario 1
(Kindererziehung)",1778,Szenario,2866.26586914063
Männer,78. Dezil,"Szenario 2
(Arbeitslosigkeit)",1778,Szenario,2866.27978515625
Männer,78. Dezil,"Szenario 3
(GPG/Männer)",1778,Szenario,2866.26586914063
Männer,78. Dezil,"Szenario 4
(GPG/Frau)",1778,Szenario,2866.26586914063
Männer,78. Dezil,"Szenario 5
(Beste 15 Jahre)",1778,Szenario,2651.33569335938
Männer,79. Dezil,"Szenario 1
(Kindererziehung)",1776,Szenario,2892.45361328125
Männer,79. Dezil,"Szenario 2
(Arbeitslosigkeit)",1776,Szenario,2892.47802734375
Männer,79. Dezil,"Szenario 3
(GPG/Männer)",1776,Szenario,2892.45361328125
Männer,79. Dezil,"Szenario 4
(GPG/Frau)",1776,Szenario,2892.45361328125
Männer,79. Dezil,"Szenario 5
(Beste 15 Jahre)",1776,Szenario,2706.82006835938
Männer,80. Dezil,"Szenario 1
(Kindererziehung)",1777,Szenario,2919.22631835938
Männer,80. Dezil,"Szenario 2
(Arbeitslosigkeit)",1777,Szenario,2919.23706054688
Männer,80. Dezil,"Szenario 3
(GPG/Männer)",1777,Szenario,2919.22631835938
Männer,80. Dezil,"Szenario 4
(GPG/Frau)",1777,Szenario,2919.22631835938
Männer,80. Dezil,"Szenario 5
(Beste 15 Jahre)",1777,Szenario,2540.01416015625
Männer,81. Dezil,"Szenario 1
(Kindererziehung)",1776,Szenario,2945.69995117188
Männer,81. Dezil,"Szenario 2
(Arbeitslosigkeit)",1776,Szenario,2945.69995117188
Männer,81. Dezil,"Szenario 3
(GPG/Männer)",1776,Szenario,2945.69995117188
Männer,81. Dezil,"Szenario 4
(GPG/Frau)",1776,Szenario,2945.69995117188
Männer,81. Dezil,"Szenario 5
(Beste 15 Jahre)",1776,Szenario,2697.75439453125
Männer,82. Dezil,"Szenario 1
(Kindererziehung)",1777,Szenario,2973.36059570313
Männer,82. Dezil,"Szenario 2
(Arbeitslosigkeit)",1777,Szenario,2973.44580078125
Männer,82. Dezil,"Szenario 3
(GPG/Männer)",1777,Szenario,2973.36059570313
Männer,82. Dezil,"Szenario 4
(GPG/Frau)",1777,Szenario,2973.36059570313
Männer,82. Dezil,"Szenario 5
(Beste 15 Jahre)",1777,Szenario,2746.85229492188
Männer,83. Dezil,"Szenario 1
(Kindererziehung)",1777,Szenario,3001.28466796875
Männer,83. Dezil,"Szenario 2
(Arbeitslosigkeit)",1777,Szenario,3001.29418945313
Männer,83. Dezil,"Szenario 3
(GPG/Männer)",1777,Szenario,3001.28466796875
Männer,83. Dezil,"Szenario 4
(GPG/Frau)",1777,Szenario,3001.28466796875
Männer,83. Dezil,"Szenario 5
(Beste 15 Jahre)",1777,Szenario,2782.98876953125
Männer,84. Dezil,"Szenario 1
(Kindererziehung)",1777,Szenario,3029.923828125
Männer,84. Dezil,"Szenario 2
(Arbeitslosigkeit)",1777,Szenario,3029.923828125
Männer,84. Dezil,"Szenario 3
(GPG/Männer)",1777,Szenario,3029.923828125
Männer,84. Dezil,"Szenario 4
(GPG/Frau)",1777,Szenario,3029.923828125
Männer,84. Dezil,"Szenario 5
(Beste 15 Jahre)",1777,Szenario,2804.43603515625
Männer,85. Dezil,"Szenario 1
(Kindererziehung)",1776,Szenario,3058.75341796875
Männer,85. Dezil,"Szenario 2
(Arbeitslosigkeit)",1776,Szenario,3058.75341796875
Männer,85. Dezil,"Szenario 3
(GPG/Männer)",1776,Szenario,3058.75341796875
Männer,85. Dezil,"Szenario 4
(GPG/Frau)",1776,Szenario,3058.75341796875
Männer,85. Dezil,"Szenario 5
(Beste 15 Jahre)",1776,Szenario,2837.09228515625
Männer,86. Dezil,"Szenario 1
(Kindererziehung)",1777,Szenario,3087.5078125
Männer,86. Dezil,"Szenario 2
(Arbeitslosigkeit)",1777,Szenario,3087.5078125
Männer,86. Dezil,"Szenario 3
(GPG/Männer)",1777,Szenario,3087.5078125
Männer,86. Dezil,"Szenario 4
(GPG/Frau)",1777,Szenario,3087.5078125
Männer,86. Dezil,"Szenario 5
(Beste 15 Jahre)",1777,Szenario,2840.76342773438
Männer,87. Dezil,"Szenario 1
(Kindererziehung)",1777,Szenario,3116.53442382813
Männer,87. Dezil,"Szenario 2
(Arbeitslosigkeit)",1777,Szenario,3116.53442382813
Männer,87. Dezil,"Szenario 3
(GPG/Männer)",1777,Szenario,3116.53442382813
Männer,87. Dezil,"Szenario 4
(GPG/Frau)",1777,Szenario,3116.53442382813
Männer,87. Dezil,"Szenario 5
(Beste 15 Jahre)",1777,Szenario,2911.63720703125
Männer,88. Dezil,"Szenario 1
(Kindererziehung)",1777,Szenario,3146.20678710938
Männer,88. Dezil,"Szenario 2
(Arbeitslosigkeit)",1777,Szenario,3146.20678710938
